Modelo,Umbral,Accuracy,Precision,Recall,F1-score
Random_Forest,0.3,0.5368333333333334,0.30536193029490616,0.8583270535041447,0.45046470239272296
Random_Forest,0.4,0.7156666666666667,0.41358869129046966,0.6834966088922382,0.5153409090909091
Random_Forest,0.5,0.789,0.5212840195394278,0.5629238884702336,0.5413043478260869
Random_Forest,0.6,0.8078333333333333,0.5831739961759083,0.45968349660889224,0.5141171512852929
