Modelo,Accuracy,Precision,Recall,F1-score,AUC
Baseline,0.7788333333333334,0.0,0.0,0.0,0.5
Regresion_Logistica,0.6796666666666666,0.36724676483712626,0.6201959306706858,0.461322869955157,0.7081149369197677
Random_Forest,0.789,0.5212840195394278,0.5629238884702336,0.5413043478260869,0.7733021440973664
