Modelo,F1 promedio validación cruzada,Desviación estándar,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regresion_Logistica,0.47669010878136603,0.003247327824676113,0.4781032078103208,0.4741113909879653,0.47613762486126526,0.4821479577263639,0.47295036252091466
Random_Forest,0.5421455740499057,0.010648413337701808,0.5595706618962433,0.5286855482933914,0.5359335500180571,0.547798066595059,0.5387400434467777
